time,dist,distLeft,distRight,direction,status
48.641,55.10,-1,-1,-1,DRIVING
48.698,54.67,-1,-1,-1,DRIVING
48.755,67.66,-1,-1,-1,DRIVING
48.815,67.66,-1,-1,-1,DRIVING
48.869,63.75,-1,-1,-1,DRIVING
48.927,47.28,-1,-1,-1,DRIVING
48.985,45.97,-1,-1,-1,DRIVING
49.042,43.67,-1,-1,-1,DRIVING
49.099,44.35,-1,-1,-1,DRIVING
49.157,42.67,-1,-1,-1,DRIVING
49.213,41.09,-1,-1,-1,DRIVING
49.27,39.37,-1,-1,-1,DRIVING
49.328,37.64,-1,-1,-1,DRIVING
49.384,36.53,-1,-1,-1,DRIVING
49.44,34.97,-1,-1,-1,DRIVING
49.498,34.56,-1,-1,-1,DRIVING
49.554,33.25,-1,-1,-1,DRIVING
49.61,32.84,-1,-1,-1,DRIVING
49.667,117.88,-1,-1,-1,DRIVING
49.73,44.37,-1,-1,-1,DRIVING
49.786,43.10,-1,-1,-1,DRIVING
49.844,27.85,-1,-1,-1,DRIVING
49.9,28.15,-1,-1,-1,DRIVING
49.956,27.01,-1,-1,-1,DRIVING
50.013,27.98,-1,-1,-1,DRIVING
50.069,27.68,-1,-1,-1,DRIVING
50.125,25.93,-1,-1,-1,DRIVING
50.181,23.68,-1,-1,-1,DRIVING
50.237,22.15,-1,-1,-1,DRIVING
50.293,21.08,-1,-1,-1,DRIVING
50.349,20.23,-1,-1,-1,DRIVING
50.405,19.23,27.56,5.02,LEFT,OBSTACLE
52.776,24.56,-1,-1,-1,DRIVING
52.832,24.56,-1,-1,-1,DRIVING
52.887,24.56,-1,-1,-1,DRIVING
52.941,24.56,-1,-1,-1,DRIVING
52.996,24.56,-1,-1,-1,DRIVING
53.051,20.20,-1,-1,-1,DRIVING
53.106,109.29,-1,-1,-1,DRIVING
53.169,109.29,-1,-1,-1,DRIVING
53.224,18.80,83.57,15.20,LEFT,OBSTACLE
55.601,79.19,-1,-1,-1,DRIVING
55.66,79.78,-1,-1,-1,DRIVING
55.719,80.19,-1,-1,-1,DRIVING
55.779,82.38,-1,-1,-1,DRIVING
55.838,72.64,-1,-1,-1,DRIVING
55.897,70.62,-1,-1,-1,DRIVING
55.956,61.40,-1,-1,-1,DRIVING
56.013,59.98,-1,-1,-1,DRIVING
56.072,57.34,-1,-1,-1,DRIVING
56.13,56.15,-1,-1,-1,DRIVING
56.187,54.83,-1,-1,-1,DRIVING
56.246,53.69,-1,-1,-1,DRIVING
56.303,52.38,-1,-1,-1,DRIVING
56.36,51.07,-1,-1,-1,DRIVING
56.419,51.90,-1,-1,-1,DRIVING
56.476,53.75,-1,-1,-1,DRIVING
56.534,52.82,-1,-1,-1,DRIVING
56.592,50.25,-1,-1,-1,DRIVING
56.649,45.54,-1,-1,-1,DRIVING
56.707,43.04,-1,-1,-1,DRIVING
56.763,41.74,-1,-1,-1,DRIVING
56.82,39.70,-1,-1,-1,DRIVING
56.878,38.91,-1,-1,-1,DRIVING
56.934,38.49,-1,-1,-1,DRIVING
56.991,43.11,-1,-1,-1,DRIVING
57.049,40.55,-1,-1,-1,DRIVING
57.105,34.20,-1,-1,-1,DRIVING
57.161,31.91,-1,-1,-1,DRIVING
57.219,31.23,-1,-1,-1,DRIVING
57.275,35.50,-1,-1,-1,DRIVING
57.331,34.14,-1,-1,-1,DRIVING
57.388,28.70,-1,-1,-1,DRIVING
57.444,27.32,-1,-1,-1,DRIVING
57.5,30.35,-1,-1,-1,DRIVING
57.556,29.44,-1,-1,-1,DRIVING
57.613,26.91,-1,-1,-1,DRIVING
57.669,26.37,-1,-1,-1,DRIVING
57.725,25.64,-1,-1,-1,DRIVING
57.782,24.33,-1,-1,-1,DRIVING
57.837,22.51,-1,-1,-1,DRIVING
57.893,21.30,-1,-1,-1,DRIVING
57.949,20.67,-1,-1,-1,DRIVING
58.005,19.53,23.92,11.97,LEFT,OBSTACLE
60.378,30.52,-1,-1,-1,DRIVING
60.434,29.82,-1,-1,-1,DRIVING
60.49,29.00,-1,-1,-1,DRIVING
60.547,28.93,-1,-1,-1,DRIVING
60.603,27.80,-1,-1,-1,DRIVING
60.659,26.96,-1,-1,-1,DRIVING
60.716,26.11,-1,-1,-1,DRIVING
60.772,24.96,-1,-1,-1,DRIVING
60.827,23.92,-1,-1,-1,DRIVING
60.883,22.92,-1,-1,-1,DRIVING
60.94,21.85,-1,-1,-1,DRIVING
60.995,21.06,-1,-1,-1,DRIVING
61.051,19.58,65.62,28.14,LEFT,OBSTACLE
63.427,60.11,-1,-1,-1,DRIVING
63.485,60.52,-1,-1,-1,DRIVING
63.544,60.81,-1,-1,-1,DRIVING
63.602,59.74,-1,-1,-1,DRIVING
63.66,58.87,-1,-1,-1,DRIVING
63.718,58.28,-1,-1,-1,DRIVING
63.776,57.15,-1,-1,-1,DRIVING
63.834,56.20,-1,-1,-1,DRIVING
63.892,56.71,-1,-1,-1,DRIVING
63.949,55.49,-1,-1,-1,DRIVING
64.008,55.35,-1,-1,-1,DRIVING
64.065,56.78,-1,-1,-1,DRIVING
64.123,55.69,-1,-1,-1,DRIVING
64.181,54.60,-1,-1,-1,DRIVING
64.239,53.92,-1,-1,-1,DRIVING
64.296,52.85,-1,-1,-1,DRIVING
64.354,51.54,-1,-1,-1,DRIVING
64.412,51.19,-1,-1,-1,DRIVING
64.47,49.54,-1,-1,-1,DRIVING
64.527,48.71,-1,-1,-1,DRIVING
64.584,46.72,-1,-1,-1,DRIVING
64.642,47.11,-1,-1,-1,DRIVING
64.699,47.16,-1,-1,-1,DRIVING
64.756,44.25,-1,-1,-1,DRIVING
64.814,44.37,-1,-1,-1,DRIVING
64.871,42.84,-1,-1,-1,DRIVING
64.928,41.23,-1,-1,-1,DRIVING
64.985,40.68,-1,-1,-1,DRIVING
65.042,39.13,-1,-1,-1,DRIVING
65.099,38.42,-1,-1,-1,DRIVING
65.156,38.23,-1,-1,-1,DRIVING
65.213,63.33,-1,-1,-1,DRIVING
65.271,62.39,-1,-1,-1,DRIVING
65.329,60.83,-1,-1,-1,DRIVING
65.387,59.70,-1,-1,-1,DRIVING
65.445,57.72,-1,-1,-1,DRIVING
65.504,57.83,-1,-1,-1,DRIVING
65.561,55.66,-1,-1,-1,DRIVING
65.619,54.16,-1,-1,-1,DRIVING
65.677,53.13,-1,-1,-1,DRIVING
65.734,53.16,-1,-1,-1,DRIVING
65.793,51.54,-1,-1,-1,DRIVING
65.85,55.61,-1,-1,-1,DRIVING
65.908,52.26,-1,-1,-1,DRIVING
65.966,50.61,-1,-1,-1,DRIVING
66.023,50.03,-1,-1,-1,DRIVING
66.08,49.49,-1,-1,-1,DRIVING
66.138,46.78,-1,-1,-1,DRIVING
66.195,45.54,-1,-1,-1,DRIVING
66.252,49.57,-1,-1,-1,DRIVING
66.31,45.71,-1,-1,-1,DRIVING
66.367,42.11,-1,-1,-1,DRIVING
66.424,39.58,-1,-1,-1,DRIVING
66.482,39.95,-1,-1,-1,DRIVING
66.538,40.75,-1,-1,-1,DRIVING
66.595,37.52,-1,-1,-1,DRIVING
66.652,35.92,-1,-1,-1,DRIVING
66.709,34.22,-1,-1,-1,DRIVING
66.765,33.25,-1,-1,-1,DRIVING
66.822,32.83,-1,-1,-1,DRIVING
66.878,31.76,-1,-1,-1,DRIVING
66.935,30.86,-1,-1,-1,DRIVING
66.992,29.95,-1,-1,-1,DRIVING
67.048,28.49,-1,-1,-1,DRIVING
67.104,27.95,-1,-1,-1,DRIVING
67.16,27.52,-1,-1,-1,DRIVING
67.216,27.34,-1,-1,-1,DRIVING
67.272,27.13,-1,-1,-1,DRIVING
67.329,26.78,-1,-1,-1,DRIVING
67.385,26.79,-1,-1,-1,DRIVING
67.441,26.52,-1,-1,-1,DRIVING
67.496,25.94,-1,-1,-1,DRIVING
67.553,24.77,-1,-1,-1,DRIVING
67.609,23.94,-1,-1,-1,DRIVING
67.665,23.21,-1,-1,-1,DRIVING
67.721,22.27,-1,-1,-1,DRIVING
67.777,21.47,-1,-1,-1,DRIVING
67.832,20.59,-1,-1,-1,DRIVING
67.889,20.11,-1,-1,-1,DRIVING
67.944,20.47,-1,-1,-1,DRIVING
68.0,20.06,-1,-1,-1,DRIVING
68.056,19.96,24.45,5.98,LEFT,OBSTACLE
70.427,20.30,-1,-1,-1,DRIVING
70.483,19.82,42.94,17.39,LEFT,OBSTACLE
72.857,24.17,-1,-1,-1,DRIVING
72.913,24.68,-1,-1,-1,DRIVING
72.97,24.50,-1,-1,-1,DRIVING
73.025,24.41,-1,-1,-1,DRIVING
73.081,24.51,-1,-1,-1,DRIVING
73.138,23.44,-1,-1,-1,DRIVING
73.193,23.44,-1,-1,-1,DRIVING
73.248,21.95,-1,-1,-1,DRIVING
73.304,21.20,-1,-1,-1,DRIVING
73.36,20.52,-1,-1,-1,DRIVING
73.415,18.99,73.41,10.95,LEFT,OBSTACLE
75.791,56.32,-1,-1,-1,DRIVING
75.849,57.90,-1,-1,-1,DRIVING
75.907,66.32,-1,-1,-1,DRIVING
75.965,65.74,-1,-1,-1,DRIVING
76.024,64.12,-1,-1,-1,DRIVING
76.083,63.92,-1,-1,-1,DRIVING
76.141,65.38,-1,-1,-1,DRIVING
76.199,63.00,-1,-1,-1,DRIVING
76.257,60.62,-1,-1,-1,DRIVING
76.315,59.28,-1,-1,-1,DRIVING
76.374,58.94,-1,-1,-1,DRIVING
76.432,56.88,-1,-1,-1,DRIVING
76.489,55.01,-1,-1,-1,DRIVING
76.548,53.64,-1,-1,-1,DRIVING
76.605,52.21,-1,-1,-1,DRIVING
76.662,50.59,-1,-1,-1,DRIVING
76.721,49.64,-1,-1,-1,DRIVING
76.778,47.40,-1,-1,-1,DRIVING
76.835,46.44,-1,-1,-1,DRIVING
76.893,44.98,-1,-1,-1,DRIVING
76.95,44.54,-1,-1,-1,DRIVING
77.007,42.93,-1,-1,-1,DRIVING
77.064,40.63,-1,-1,-1,DRIVING
77.121,39.36,-1,-1,-1,DRIVING
77.177,38.47,-1,-1,-1,DRIVING
77.235,36.48,-1,-1,-1,DRIVING
77.291,35.26,-1,-1,-1,DRIVING
77.348,33.90,-1,-1,-1,DRIVING
77.405,32.11,-1,-1,-1,DRIVING
77.461,30.77,-1,-1,-1,DRIVING
